Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type	Filename	In space as of	Twitter
GIDZENKO, Yuri Pavlovich	URS	Male	1962-03-26	329.95	28507645	12840	3	2	1995-09-03T09:00:23Z	0.010277	33		Soyuz TM-22;Soyuz TM-31;STS-102;Soyuz TM-34;Soyuz TM-33	179.07	229486542	03:34	cosmonaut	GIDZENKO_YP.md		
GIVENS, Edward G. Jr.	USA	Male	1930-01-05	0.00	0	0	0	0		0.000000	0	BSc in naval sciences		0.00	0	00:00	astronaut	GIVENS_EGJ.md		
GLAZKOV, Yuri Nikolayevich	URS	Male	1939-10-02	17.73	1531680	0	1	0	1977-02-07T16:11Z	0.000552	37		Soyuz 24	17.73	12330024	00:00	cosmonaut	GLAZKOV_YN.md		
GLENN, John H., Jr.	USA	Male	1921-07-18	9.11	787250	0	2	0	1962-02-20T14:47:39Z	0.000284	40	BSc in engineering	Mercury-Atlas 6;STS-95	8.91	6337362	00:00	astronaut	GLENN_JHJ.md		
GLOVER, Victor J.	USA	Male	1976-04-30	167.27	14452156	69600	1	3	2020-11-16T00:27:17Z	0.005210	44	BSc in General Engineering;MSc in Flight test engineering;MSc in Systems Engineering;Master of Military Operational Art and Science	SpaceX Crew-1	167.27	116339855	19:20	astronaut	GLOVER_VJ.md		AstroVicGlover
GODWIN, Linda M.	USA	Female	1952-07-02	38.26	3305785	36840	4	2	1991-04-05T14:22:45Z	0.001192	38	BSc in mathematics & physics;PhD in physics	STS-37;STS-59;STS-76;STS-108	11.82	26611569	10:14	astronaut	GODWIN_LM.md		
GOLOVANOV, Yaroslav Kirillovich	URS	Male	1932-06-02	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GOLOVANOV_YK.md		
GOOD, Michael T.	USA	Male	1962-10-13	24.67	2131589	107580	2	4	2009-05-11T18:01:56Z	0.000768	46	MSc in aerospace engineering	STS-125;STS-132	12.90	17159291	29:53	astronaut	GOOD_MT.md		
GORBATKO, Viktor Vasiliyevich	URS	Male	1934-12-03	30.54	2638224	0	3	0	1969-10-12T10:44:42Z	0.000951	34		Soyuz 7;Soyuz 24;Soyuz 37;Soyuz 36	17.73	21237703	00:00	cosmonaut	GORBATKO_VV.md		
GORDON, Richard F., Jr.	USA	Male	1929-10-05	13.16	1137215	9660	2	2	1966-09-12T14:42:26Z	0.000694	36	BSc in chemistry	Gemini 11;Apollo 12	10.19	2825871	02:41	astronaut	GORDON_RFJ.md		
GORIE, Dominic L.	USA	Male	1957-05-02	48.64	4202649	0	4	0	1998-06-02T22:06:24Z	0.001515	41	BSc in ocean engineering;MSc in aviation systems	STS-91;STS-99;STS-108;STS-123	15.76	33831324	00:00	astronaut	GORIE_DL.md		
GRABE, Ronald J.	USA	Male	1945-06-13	26.15	2259593	0	4	0	1985-10-03T15:15:30Z	0.000815	40	BSc in engineering science	STS-51-J;STS-30;STS-42;STS-57	9.99	18189723	00:00	astronaut	GRABE_RJ.md		
GRAVELINE, Duane F.	USA	Male	1931-03-02	0.00	0	0	0	0		0.000000	0	MSc in public health;Doctor of Medicine		0.00	0	00:00	astronaut	GRAVELINE_DF.md		
GRECHANIK, Aleksei Anatoliyevich	URS	Male	1939-03-25	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GRECHANIK_AA.md		
GRECHKO, Georgi Mikhailovich	URS	Male	1931-05-25	133.86	11565181	5280	3	1	1975-01-11T21:43:37Z	0.004169	43	Doctorate in physical-mathematical sciences	Soyuz 17;Soyuz 26;Soyuz 27;Soyuz T-14;Soyuz T-13	96.42	93099707	01:28	cosmonaut	GRECHKO_GM.md		
GREGORY, Frederick D.	USA	Male	1941-01-07	18.96	1638347	0	3	0	1985-04-29T16:02:18Z	0.000591	44		STS-51-B;STS-33;STS-44	7.01	13188693	00:00	astronaut	GREGORY_FD.md		
GREGORY, William G.	USA	Male	1957-05-14	16.63	1436929	0	1	0	1995-03-02T06:38:13Z	0.000518	37	BSc in engineering science;MSc in engineering mechanics	STS-67	16.63	11567278	00:00	astronaut	GREGORY_WG.md		
GREKOV, Nikolai Sergeyevich	URS	Male	1950-02-15	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GREKOV_NS.md		
GRIGGS, S. David	USA	Male	1939-09-07	7.00	604524	11160	1	1	1985-04-12T13:59:05Z	0.000218	45	MSc in administration	STS-51-D	7.00	4866418	03:06	astronaut	GRIGGS_SD.md		
GRISHCHENKO, Vitali Andreyevich	URS	Male	1942-04-26	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GRISHCHENKO_VA.md		
GRISSOM, Virgil Ivan 'Gus'	USA	Male	1926-04-03	0.21	18490	0	2	0	1961-07-21T12:20:36Z	0.000007	35	BSc in mechanical engineering	Mercury-Redstone 4;Gemini 3	0.20	148844	00:00	astronaut	GRISSOM_VI.md		
GRUNSFELD, John M.	USA	Male	1958-10-10	58.63	5065512	211320	5	8	1995-03-02T06:38:13Z	0.001826	36	BSc in physics;PhD in physics	STS-67;STS-81;STS-103;STS-109;STS-125	16.63	40777371	58:42	astronaut	GRUNSFELD_JM.md		SciAstro
GUBAREV, Aleksei Aleksandrovich	URS	Male	1931-03-29	36.48	3152206	0	2	0	1975-01-11T21:43:37Z	0.001136	43		Soyuz 17;Soyuz 28	28.56	25375258	00:00	cosmonaut	GUBAREV_AA.md		
GUIDONI, Umberto	ITA	Male	1954-08-18	27.63	2387498	0	2	0	1996-02-22T20:18Z	0.000861	41		STS-75;STS-100	15.74	19219358	00:00	international	GUIDONI_U.md		
GULYAYEV, Rudolf Alekseyevich	URS	Male	1934-11-14	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GULYAYEV_RA.md		
GULYAYEV, Vladislav Ivanovich	URS	Male	1937-05-31	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	GULYAYEV_VI.md		
G&Uuml;RRAGCHA, J&uuml;gderdemidiin 'Gurr'	MNG	Male	1947-12-05	7.86	679324	0	1	0	1981-03-22T14:58:55Z	0.000245	33		Soyuz 39	7.86	5468558	00:00	international	GURRAGCHA_Z.md		
GUTERREZ, Sidney M.	USA	Male	1951-06-27	20.34	1757121	0	2	0	1991-06-05T13:24:51Z	0.000633	39	BSc in aeronautical engineering;MA in management	STS-40;STS-59	11.24	14144824	00:00	astronaut	GUTERREZ_SM.md		
HABIB, Munir Habib	SYR	Male	1953-09-03	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	HABIB_MH.md		
HADFIELD, Chris Austin	CAN	Male	1959-08-19	165.68	14314884	53400	3	2	1995-11-12T12:30:43Z	0.005161	36		STS-74;STS-100;Soyuz TMA-07M	145.60	115234816	14:50	international	HADFIELD_CA.md		Cmdr_Hadfield
HAGUE, Tyler Nicklaus	USA	Male	1975-09-24	202.66	17509500	48240	1	2	2019-03-14T19:14Z	0.006312	43	BSc in Aerospace Engineering;MSc in Aerospace Engineering	Soyuz MS-12	202.66	140951475	13:24	astronaut	HAGUE_TN.md		
HAIGNERÉ, Claudie	FRA	Female	1957-05-13	25.60	2211843	0	2	0	1996-08-17T13:18:03Z	0.000797	39		Soyuz TM-24;Soyuz TM-23;Soyuz TM-33;Soyuz TM-32	15.77	17805336	00:00	international	HAIGNERE_C.md		
HAIGNERÉ, Jean-Pierre	FRA	Male	1948-05-19	209.52	18102313	22740	2	1	1993-07-01T14:32:58Z	0.006526	45		Soyuz TM-17;Soyuz TM-16;Soyuz TM-29	188.84	145723619	06:19	international	HAIGNERE_J.md		
HAIPENG, Jing	CHN	Male	1966-10-24	47.44	4098960	0	3	0	2008-09-25T21:10:04Z	0.001478	41		Shenzhou VII;Shenzhou IX;Shenzhou XI	32.28	32996628	00:00	taikonaut	HAIPENG_J.md		
HAISE, Fred W., Jr.	USA	Male	1933-11-14	5.95	514482	0	1	0	1970-04-11T19:13Z	0.000352	36	BSc in aeronautical engineering	Apollo 13	5.95	760000	00:00	astronaut	HAISE_FWJ.md		
HALIK, Nikos 'Nik'	AUS	Male	1971-05-14	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	HALIK_N.md		
HALSELL, James D., Jr.	USA	Male	1956-09-29	52.44	4530882	0	5	0	1994-07-08T16:43:01Z	0.001633	37	BSc in engineering;MSc in management	STS-65;STS-74;STS-83;STS-94;STS-101	15.70	36473600	00:00	astronaut	HALSELL_JDJ.md		
HAMMOND, L. Blaine, Jr.	USA	Male	1952-01-16	19.26	1663962	0	2	0	1991-04-28T11:33:14Z	0.000600	39	BSc in engineering science and mechanics;MSc in engineering science and mechanics	STS-39;STS-64	10.95	13394894	00:00	astronaut	HAMMOND_LBJ.md		
HAM, Kenneth T.	USA	Male	1964-12-12	25.53	2205747	0	2	0	2008-05-31T21:02:12Z	0.000795	43	BSc in aerospace engineering;MSc in aeronautical engineering	STS-124;STS-132	13.76	17756263	00:00	astronaut	HAM_KT.md		
HANSEN, Jeremy Roger	CAN	Male	1976-01-27	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	HANSEN_JR.md		Astro_Jeremy
HARBAUGH, Gregory J.	USA	Male	1956-04-15	34.08	2944895	66540	4	3	1991-04-28T11:33:14Z	0.001062	35	BSc in aeronautical and astronautical engineering;MSc in physical science	STS-39;STS-54;STS-71;STS-82	9.98	23706404	18:29	astronaut	HARBAUGH_GJ.md		
HARRIS, Bernard A., Jr.	USA	Male	1956-06-26	18.26	1577356	16740	2	1	1993-04-26T14:50Z	0.000569	36	BSc in biology;Doctor of Medicine	STS-55;STS-63	9.99	12697715	04:39	astronaut	HARRIS_BAJ.md		
HARTSFIELD, Henry W., Jr.	USA	Male	1933-11-21	20.12	1738229	0	3	0	1982-06-27T15:00Z	0.000627	48	BSc in physics;MSc in engineering science	STS-4;STS-41-D;STS-61-A	7.05	13992743	00:00	astronaut	HARTSFIELD_HWJ.md		
HART, Terry J.	USA	Male	1946-10-27	6.99	603608	0	1	0	1984-04-06T13:58Z	0.000218	37	BSc in mechanical engineering;MSc in mechanical engineering	STS-41-C	6.99	4859044	00:00	astronaut	HART_TJ.md		
HAUCK, Frederick H.	USA	Male	1941-04-11	18.13	1566549	0	3	0	1983-06-18T11:33Z	0.000565	42	BSc in physics;MSc in nuclear engineering	STS-7;STS-51-A;STS-26	7.99	12610719	00:00	astronaut	HAUCK_FH.md		
HAWLEY, Steven A.	USA	Male	1951-12-12	32.11	2774627	0	5	0	1984-08-30T12:41:50Z	0.001000	32	BA in physics & astronomy;PhD in astronomy & astrophysics	STS-41-D;STS-61-C;STS-31;STS-82;STS-93	9.98	22335747	00:00	astronaut	HAWLEY_SA.md		
HELMS, Susan J.	USA	Female	1958-02-26	210.96	18227347	32160	5	1	1993-01-13T13:59:30Z	0.006571	34	BSc in aeronautical engineering;MSc in aeronautics and astronautics	STS-54;STS-64;STS-78;STS-101;STS-102;STS-105	167.28	146730143	08:56	astronaut	HELMS_SJ.md		
HENIZE, Karl G.	USA	Male	1926-10-17	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	58	BA in mathematics;MA in astronomy;PhD in astronomy	STS-51-F	7.95	5528152	00:00	astronaut	HENIZE_KG.md		
HENNEN, Thomas J. Chief Warrant Officer	USA	Male	1952-08-17	6.95	600613	0	1	0	1991-11-24T23:44Z	0.000217	39		STS-44	6.95	4834934	00:00	astronaut	HENNEN_TJCWO.md		
HENRICKS, Terence T.	USA	Male	1952-07-05	42.78	3696049	0	4	0	1991-11-24T23:44Z	0.001332	39	BSc in civil engineering;MA in public administration	STS-44;STS-55;STS-70;STS-78	16.91	29753194	00:00	astronaut	HENRICKS_TT.md		
HERMASZEWSKI, Mirosław 'Mirek'	POL	Male	1941-09-15	7.92	684180	0	1	0	1978-06-27T15:27:21Z	0.000247	36		Soyuz 30	7.92	5507649	00:00	international	HERMASZEWSKI_M.md		
HERNANDEZ, Jose M.	USA	Male	1962-08-07	13.87	1198500	0	1	0	2009-08-29T03:59Z	0.000432	47	BSc in electrical engineering;MSc in electrical & computer engineering	STS-128	13.87	9647925	00:00	astronaut	HERNANDEZ_JM.md		
HERRINGTON, John B.	USA	Male	1958-09-14	14.78	1277319	71700	1	3	2002-11-23T00:49:47Z	0.000460	44	BSc in applied mathematics;MSc in aeronautical engineering	STS-113	14.78	10282417	19:55	astronaut	HERRINGTON_JB.md		
HIEB, Richard J.	USA	Male	1955-09-21	32.02	2766904	63720	3	3	1991-04-28T11:33:14Z	0.000998	35	BA in mathematics and physics;MSc in aerospace engineering	STS-39;STS-49;STS-65	14.75	22273577	17:42	astronaut	HIEB_RJ.md		
HIGGINBOTHAM, Joan E.	USA	Female	1964-08-03	12.86	1111525	0	1	0	2006-12-10T01:47:35Z	0.000401	42	BSc in electrical engineering	STS-116	12.86	8947776	00:00	astronaut	HIGGINBOTHAM_JE.md		
HILMERS, David C.	USA	Male	1950-01-28	20.60	1779479	0	4	0	1985-10-03T15:15:30Z	0.000642	35	BA in mathematics;MSc in electrical engineering	STS-51-J;STS-26;STS-36;STS-42	8.05	14324805	00:00	astronaut	HILMERS_DC.md		
HIRE, Kathryn P. 'Kay'	USA	Female	1959-08-26	29.67	2563151	0	2	0	1998-04-17T18:19Z	0.000924	38	BSc in engineering & management;MSc in space technology	STS-90;STS-130	15.91	20633365	00:00	astronaut	HIRE_KP.md		
HOBAUGH, Charles O.	USA	Male	1961-11-06	35.32	3052073	0	3	0	2001-07-12T09:04Z	0.001100	39	BSc in aerospace engineering	STS-104;STS-118;STS-129	12.75	24569187	00:00	astronaut	HOBAUGH_CO.md		
HOFFMAN, Jeffrey A.	USA	Male	1944-11-02	50.50	4362873	90480	5	4	1985-04-12T13:59:05Z	0.001573	40	BA in astronomy;PhD in astrophysics	STS-51-D;STS-35;STS-46;STS-61;STS-75	15.74	35121127	25:08	astronaut	HOFFMAN_JA.md		
HOLMES, Christopher John Nicholas	GBR	Male	1950-07-10	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	HOLMES_CJN.md		
HOLMQUEST, Donald L.	USA	Male	1939-04-07	0.00	0	0	0	0		0.000000	0	BSc in electrical engineering;PhD in physiology;Doctor of Medicine		0.00	0	00:00	astronaut	HOLMQUEST_DL.md		
HOPKINS, Michael S.	USA	Male	1968-12-28	333.54	28817726	115260	2	5	2013-09-25T20:58:50Z	0.010389	44	BSc in aerospace engineering;MSc in aerospace engineering	Soyuz TMA-10M;SpaceX Crew-1	167.27	231982694	32:01	astronaut	HOPKINS_MS.md		AstroIllini
HOROWITZ, Scott J.	USA	Male	1957-03-24	47.45	4099312	0	4	0	1996-02-22T20:18Z	0.001478	38	BSc in engineering;MSc in aerospace engineering;PhD in aerospace engineering	STS-75;STS-82;STS-101;STS-105	15.74	32999461	00:00	astronaut	HOROWITZ_SJ.md		
HOSHIDE, Akihiko	JPN	Male	1968-12-28	228.96	19782274	76980	3	3	2008-05-31T21:02:12Z	0.007132	39		STS-124;Soyuz TMA-05M;SpaceX Crew-2	126.97	159247305	21:23	international	HOSHIDE_A.md	2021-07-20T15:27Z	Aki_Hoshide
HUGHES-FULFORD, Millie	USA	Female	1945-12-21	9.09	785661	0	1	0	1991-06-05T13:24:51Z	0.000283	45	BSc in chemistry and biology	STS-40	9.09	6324571	00:00	astronaut	HUGHES-FULFORD_M.md		
HURLEY, Douglas G.	USA	Male	1966-10-21	92.45	7987260	0	3	0	2009-07-15T22:03Z	0.002880	42	BSc in civil engineering	STS-127;STS-135;SpaceX-DM2	63.98	64297443	00:00	astronaut	HURLEY_DG.md		Astro_Doug
HUSBAND, Rick D.	USA	Male	1957-07-12	25.73	2223224	0	2	0	1999-05-27T06:49Z	0.000802	41	BSc in mechanical engineering;MSc in mechanical engineering	STS-96;STS-107	15.93	17896953	00:00	astronaut	HUSBAND_RD.md		
IGNATOV, Ignat Nikolaevich	RUS	Male	1982-03-20	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	IGNATOV_IN.md		
ILLARIONOV, Valeri Vasiliyevich	URS	Male	1939-06-02	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ILLARIONOV_VV.md		
ILYIN, Yevgeni Aleksandrovich	URS	Male	1937-08-17	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ILYIN_YA.md		
IRWIN, James B.	USA	Male	1930-03-17	12.30	1062714	69293	1	4	1971-07-26T13:34Z	0.000726	41	BSc in naval science	Apollo 15	12.30	760000	19:15	astronaut	IRWIN_JB.md		
ISAKOV, Vladimir Timofeyevich	URS	Male	1940-04-04	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ISAKOV_VT.md		
ISAULOV, Yuri Fyodorovich	URS	Male	1943-08-31	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	ISAULOV_YF.md		
IVANCHENKOV, Aleksandr Sergeyevich	URS	Male	1940-09-28	147.53	12746306	8400	2	1	1978-06-15T20:16:45Z	0.004595	37		Soyuz 29;Soyuz 31;Soyuz T-6	139.62	102607763	02:20	cosmonaut	IVANCHENKOV_AS.md		
IVANISHIN, Anatoli Alekseyevich	RUS	Male	1969-01-15	476.06	41131211	0	3	0	2011-11-14T04:14:03Z	0.014828	42		Soyuz TMA-22;Soyuz MS-01;Soyuz MS-16	195.64	331106248	00:00	cosmonaut	IVANISHIN_AA.md		
IVANOVA, Yekaterina Aleksandrovna	URS	Male	1949-10-03	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	IVANOVA_YA.md		
IVANOV, Georgi	BGR	Male	1940-07-02	1.96	169267	0	1	0	1979-04-10T17:34:34Z	0.000061	38		Soyuz 33	1.96	1362599	00:00	international	IVANOV_G.md		
IVANOV, Leonid Georgiyevich	URS	Male	1950-06-25	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	IVANOV_LG.md		
IVINS, Marsha S.	USA	Female	1951-04-15	55.91	4830652	0	5	0	1990-01-09T12:35Z	0.001742	38	BSc in aerospace engineering	STS-32;STS-46;STS-62;STS-81;STS-98	13.97	38886748	00:00	astronaut	IVINS_MS.md		
JäHN, Sigmund Werner Paul 'Sig'	GDR	Male	1937-02-13	7.87	679745	0	1	0	1978-08-26T14:51:30Z	0.000245	41		Soyuz 31;Soyuz 29	7.87	5471947	00:00	international	JAHN_SWP.md		
JANKOWSKI, Zenon 'Zden'	POL	Male	1937-11-22	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	JANKOWSKI_Z.md		
JARVIS, Gregory	USA	Male	1944-08-24	0.00	0	0	1	0	1986-01-28T16:38Z	0.000000	41	BSc in electrical engineering	STS-51-L	0.00	0	00:00	astronaut	JARVIS_G.md		
JEMISON, Mae C.	USA	Female	1956-10-17	7.94	685825	0	1	0	1992-09-12T14:23Z	0.000247	35	BSc in chemical engineering;Doctor of Medicine	STS-47	7.94	5520891	00:00	astronaut	JEMISON_MC.md		
JERNIGAN, Tamara E.	USA	Female	1959-05-07	62.98	5441413	28500	5	1	1991-06-05T13:24:51Z	0.001962	32	BSc in physics;MSc in engineering science;PhD in space physics and astronomy	STS-40;STS-52;STS-67;STS-80;STS-96	17.66	43803374	07:55	astronaut	JERNIGAN_TE.md		
JETT, Brent W.	USA	Male	1958-10-05	41.75	3607367	0	4	0	1996-01-11T09:41Z	0.001301	37	BSc in aerospace engineering;MSc in aeronautical engineering	STS-72;STS-81;STS-97;STS-115	11.80	29039304	00:00	astronaut	JETT_BW.md		
JOHNSON, Gregory C.	USA	Male	1954-07-30	12.90	1114630	0	1	0	2009-05-11T18:01:56Z	0.000402	54	BSc in aerospace engineering	STS-125	12.90	8972771	00:00	astronaut	JOHNSON_GC.md		
JOHNSON, Gregory H.	USA	Male	1962-05-12	31.49	2721120	0	2	0	2008-03-11T06:28:14Z	0.000981	45	BSc in aeronautical engineering;MSc in flight structures engineering	STS-123;STS-134	15.76	21905016	00:00	astronaut	JOHNSON_GH.md		Astro_Box
JONES, Thomas D.	USA	Male	1955-01-22	53.04	4582288	71340	4	3	1994-04-09T11:05Z	0.001652	39	BSc in basic sciences	STS-59;STS-68;STS-80;STS-98	17.66	36887418	19:49	astronaut	JONES_TD.md		
KADENYUK, Leonid Konstantinovich	UKR	Male	1951-01-28	15.69	1355700	0	1	0	1997-11-19T19:46Z	0.000489	46		STS-87	15.69	10913385	00:00	cosmonaut	KADENYUK_LK.md		
KALERI, Aleksandr Yuriyevich	URS	Male	1956-05-13	769.28	66465456	84360	5	5	1992-03-17T10:54:30Z	0.023962	35		Soyuz TM-14;Soyuz TM-24;Soyuz TM-30;Soyuz TMA-3;Soyuz TMA-01M	196.73	535046920	23:26	cosmonaut	KALERI_AY.md		
KANAI, Norishige	JPN	Male	1976	168.22	14534280	21420	1	1	2017-12-17T07:21:00Z	0.005240	41		Soyuz MS-07	168.22	117000954	05:57	international	KANAI_N.md		
KARASHTIN, Vladimir Vladimirovich	URS	Male	1962-11-18	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KARASHTIN_VV.md		
KARTASHOV, Anatoli Yakovlevich	URS	Male	1932-08-25	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KARTASHOV_AY.md		
KATYS, Georgi Petrovich	URS	Male	1926-08-31	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KATYS_GP.md		
KAVANDI, Janet L.	USA	Female	1959-07-17	32.84	2837395	0	3	0	1998-06-02T22:06:24Z	0.001023	38	BSc in chemistry;MSc in chemistry;PhD in analytical chemistry	STS-91;STS-99;STS-104	11.77	22841029	00:00	astronaut	KAVANDI_JL.md		
KELLY, James M.	USA	Male	1964-05-14	26.72	2309010	0	2	0	2001-03-08T11:42Z	0.000832	36	BSc in astronautical engineering;MSc in aerospace engineering	STS-102;STS-114	13.90	18587530	00:00	astronaut	KELLY_JM.md		
KELLY, Mark E.	USA	Male	1964-02-21	54.09	4673175	0	4	0	2001-12-05T22:19:28Z	0.001685	37	BSc in marine engineering & nautical science;MSc in aeronautical engineering	STS-108;STS-121;STS-124;STS-134	15.74	37619058	00:00	astronaut	KELLY_ME.md		
KELLY, Scott J.	USA	Male	1964-02-21	519.44	44879722	62400	4	3	1999-12-20T00:50Z	0.016180	35	BSc in electrical engineering;MSc in aviation systems	STS-103;STS-118;Soyuz TMA-01M;Soyuz TMA-16M	339.36	361281762	17:20	astronaut	KELLY_SJ.md		StationCDRKelly
KERWIN, Joseph P.	USA	Male	1932-02-19	28.03	2422189	12300	1	1	1973-05-25T13:00Z	0.000873	41	BA in philosophy;Doctor of Medicine	Skylab 2	28.03	19498621	03:25	astronaut	KERWIN_JP.md		
KHATULEV, Vladimir Aleksandrovich	URS	Male	1947-02-26	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KHATULEV_VA.md		
KHLUDEYEV, Yevgeni Nikolayevich	URS	Male	1940-09-10	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KHLUDEYEV_YN.md		
KHOMENCHUK, Aleksei Mikhailovich	RUS	Male	1975-01-07	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KHOMENCHUK_AM.md		
KHRUNOV, Yevgeni Vasiliyevich	URS	Male	1933-09-10	1.99	171951	1920	1	1	1969-01-15T07:04:57Z	0.000062	35	Doctor of technical sciences	Soyuz 5;Soyuz 4	1.99	1384205	00:32	cosmonaut	KHRUNOV_YV.md		
KIKINA, Anna Yuryevna	RUS	Male	1984-08-27	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KIKINA_AY.md		
KIKUCHI, Ryoko	JPN	Male	1964-09-15	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	KIKUCHI_R.md		
KILRAIN (Still), Susan L.	USA	Female	1961-10-24	19.67	1699136	0	2	0	1997-04-04T19:20:32Z	0.000613	35	BSc in aeronautical engineering;MSc in aerospace engineering	STS-83;STS-94	15.70	13678044	00:00	astronaut	KILRAIN_SL.md		
KIMBROUGH, Robert Shane	USA	Male	1967-06-04	277.23	23952259	190860	3	8	2008-11-15T00:55Z	0.008635	41	BSc in aerospace engineering;MSc in operations research	STS-126;Soyuz MS-02;SpaceX Crew-2	173.14	192815684	53:01	astronaut	KIMBROUGH_RS.md	2021-07-20T15:27Z	astro_kimbrough
KISELYOV, Aleksandr Alexeyevich	URS	Male	1934-01-13	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KISELYOV_AA.md		
KIZIM, Leonid Denisovich	URS	Male	1941-08-05	374.75	32378354	114000	3	8	1980-11-27T14:18:28Z	0.011673	39		Soyuz T-3;Soyuz T-10;Soyuz T-11;Soyuz T-15	236.95	260645749	31:40	cosmonaut	KIZIM_LD.md		
KLIMUK, Pyotr Iliyich	URS	Male	1942-07-10	78.76	6805125	0	3	0	1973-12-18T11:55Z	0.002453	31	Doctorate of technical sciences	Soyuz 13;Soyuz 18;Soyuz 30	62.97	54781256	00:00	cosmonaut	KLIMUK_PI.md		
KOCH, Christina Hammock	USA	Female	1979-01-29	328.58	28389480	152100	1	6	2019-03-14T19:14Z	0.010235	40	BSc in Electrical Engineering;BSc in Physics ;MSc in Electrical Engineering	Soyuz MS-12	328.58	228535314	42:15	astronaut	KOCH_CH.md		
KOLESNIKOV, Gennadi Mikhailovich	URS	Male	1936-10-07	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KOLESNIKOV_GM.md		
KöLLNER, Eberhard 'Eb'	GDR	Male	1939-09-29	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	KOLLNER_E.md		
KOLODIN, Pyotr Ivanovich	URS	Male	1930-09-23	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KOLODIN_PI.md		
KOLOMIYTSEV, Ordinard Panteleymonovich	URS	Male	1933-01-29	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	cosmonaut	KOLOMIYTSEV_OP.md		
KOMAROV, Vladimir Mikhailovich	URS	Male	1927-03-16	2.13	183897	0	2	0	1964-10-12T07:30:01Z	0.000066	37	Diploma of engineering	Voskhod 1;Soyuz 1	1.12	1480370	00:00	cosmonaut	KOMAROV_VM.md		
KONDAKOVA, Yelena Vladimirovna	URS	Female	1957-03-30	178.40	15414093	0	2	0	1994-10-03T22:42:30Z	0.005557	37		Soyuz TM-20;STS-84	169.22	124083448	00:00	cosmonaut	KONDAKOVA_YV.md		
KONDRATIYEV, Dmitri Yuriyevich	RUS	Male	1969-05-25	159.30	13763940	36840	1	2	2010-12-15T19:09Z	0.004962	41		Soyuz TMA-20	159.30	110799717	10:14	cosmonaut	KONDRATIYEV_DY.md		
KONONENKO, Oleg Dmitriyevich	RUS	Male	1964-06-21	736.78	63657946	115980	4	5	2008-04-08T11:16:39Z	0.022949	43		Soyuz TMA-12;Soyuz TMA-03M;Soyuz TMA-17M;Soyuz MS-11	203.64	512446465	32:13	cosmonaut	KONONENKO_OD.md		
KONONENKO, Oleg Grigoriyevich	URS	Male	1938-08-16	0.00	0	66420	0	3		0.000000	0			0.00	0	18:27	cosmonaut	KONONENKO_OG.md		
KOPRA, Timothy L.	USA	Male	1963-04-09	244.04	21085370	45060	2	3	2009-07-15T22:03Z	0.007602	46	BSc in computer science;MSc in aerospace engineering	STS-127;STS-128;Soyuz TMA-19M	185.92	169737228	12:31	astronaut	KOPRA_TL.md		astro_tim
