Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type
GOLOVANOV, Yaroslav Kirillovich	URS	Male	1932-06-02	0.00	0	0	0	0		0.000000	0		STS-108	0.00	0	00:00	
GOOD, Michael T.	USA	Male	1962-10-13	24.67	2131589	107580	2	1	2009-05-11T18:01:56Z	0.000768	46		STS-125;STS-125;STS-125;STS-132;STS-132;STS-132;STS-132	12.90	17159291	29:53	
GORBATKO, Viktor Vasiliyevich	URS	Male	1934-12-03	22.67	1958904	0	4	0	1969-10-12T10:44:42Z	0.000706	34		Soyuz 7;Soyuz 7;Soyuz 7;Soyuz 24;Soyuz 24;Soyuz 24;Soyuz 37;Soyuz 37;Soyuz 37;Soyuz 36;Soyuz 36;Soyuz 36;Soyuz 36	17.73	15769177	00:00	
GORDON, Richard F., Jr.	USA	Male	1929-10-05	13.16	1137215	2280	2	1	1966-09-12T14:42:26Z	0.000694	36		Gemini 11;Gemini 11;Gemini 11;Apollo 12;Apollo 12;Apollo 12;Apollo 12	10.19	2825871	00:38	
GORIE, Dominic L.	USA	Male	1957-05-02	48.64	4202649	0	4	0	1998-06-02T22:06:24Z	0.001515	41		STS-91;STS-91;STS-91;STS-99;STS-99;STS-99;STS-108;STS-108;STS-108;STS-123;STS-123;STS-123;STS-123	15.76	33831324	00:00	
GRABE, Ronald J.	USA	Male	1945-06-13	26.15	2259593	0	4	0	1985-10-03T15:15:30Z	0.000815	40		STS-51-J;STS-51-J;STS-51-J;STS-30;STS-30;STS-30;STS-42;STS-42;STS-42;STS-57;STS-57;STS-57;STS-57	9.99	18189723	00:00	
GRAVELINE, Duane F.	USA	Male	1931-03-02	0.00	0	0	0	0		0.000000	0		STS-57	0.00	0	00:00	
GRECHANIK, Aleksei Anatoliyevich	URS	Male	1939-03-25	0.00	0	0	0	0		0.000000	0		STS-57	0.00	0	00:00	
GRECHKO, Georgi Mikhailovich	URS	Male	1931-05-25	28.56	2467186	0	5	0	1975-01-11T21:43:37Z	0.000889	43		Soyuz 17;Soyuz 17;Soyuz 17;Soyuz 26;Soyuz 26;Soyuz 26;Soyuz 27;Soyuz 27;Soyuz 27;Soyuz T-14;Soyuz T-14;Soyuz T-14;Soyuz T-13;Soyuz T-13;Soyuz T-13;Soyuz T-13	28.56	19860847	00:00	
GREGORY, Frederick D.	USA	Male	1941-01-07	18.96	1638347	0	3	0	1985-04-29T16:02:18Z	0.000591	44		STS-51-B;STS-51-B;STS-51-B;STS-33;STS-33;STS-33;STS-44;STS-44;STS-44;STS-44	7.01	13188693	00:00	
GREGORY, William G.	USA	Male	1957-05-14	16.63	1436929	0	1	0	1995-03-02T06:38:13Z	0.000518	37		STS-67;STS-67;STS-67;STS-67	16.63	11567278	00:00	
GREKOV, Nikolai Sergeyevich	URS	Male	1950-02-15	0.00	0	0	0	0		0.000000	0		STS-67	0.00	0	00:00	
GRIGGS, S. David	USA	Male	1939-09-07	7.00	604524	11160	1	1	1985-04-12T13:59:05Z	0.000218	45		STS-51-D;STS-51-D;STS-51-D;STS-51-D	7.00	4866418	03:06	
GRISHCHENKO, Vitali Andreyevich	URS	Male	1942-04-26	0.00	0	0	0	0		0.000000	0		STS-51-D	0.00	0	00:00	
GRISSOM, Virgil I.	USA	Male	1926-04-03	0.21	18490	0	2	0	1961-07-21T12:20:36Z	0.000007	35		Mercury-Redstone 4;Mercury-Redstone 4;Mercury-Redstone 4;Gemini 3;Gemini 3;Gemini 3;Gemini 3	0.20	148844	00:00	
GRUNSFELD, John M.	USA	Male	1958-10	58.63	5065512	210600	5	1	1995-03-02T06:38:13Z	0.001826	0		STS-67;STS-67;STS-67;STS-81;STS-81;STS-81;STS-103;STS-103;STS-103;STS-109;STS-109;STS-109;STS-125;STS-125;STS-125;STS-125	16.63	40777371	58:30	
GUBAREV, Aleksei Aleksandrovich	URS	Male	1931-03-29	36.48	3152206	0	2	0	1975-01-11T21:43:37Z	0.001136	43		Soyuz 17;Soyuz 17;Soyuz 17;Soyuz 28;Soyuz 28;Soyuz 28;Soyuz 28	28.56	25375258	00:00	
GUIDONI, Umberto	ITA	Male	1954-08-18	27.63	2387498	0	2	0	1996-02-22T20:18Z	0.000861	41		STS-75;STS-75;STS-75;STS-100;STS-100;STS-100;STS-100	15.74	19219358	00:00	
GULYAYEV, Rudolf Alekseyevich	URS	Male	1934-11-14	0.00	0	0	0	0		0.000000	0		STS-100	0.00	0	00:00	
GULYAYEV, Vladislav Ivanovich	URS	Male	1937-05-31	0.00	0	0	0	0		0.000000	0		STS-100	0.00	0	00:00	
GURRAGCHA, Zhugderdemidiyn 'Gurr'	MNG	Male	1947-12-05	7.86	679324	0	1	0	1981-03-22T14:58:55Z	0.000245	33		Soyuz 39;Soyuz 39;Soyuz 39;Soyuz 39	7.86	5468558	00:00	
GUTERREZ, Sidney M.	USA	Male	1951-06-27	20.34	1757121	0	2	0	1991-06-05T13:24:51Z	0.000633	39		STS-40;STS-40;STS-40;STS-59;STS-59;STS-59;STS-59	11.24	14144824	00:00	
HABIB, Munir Habib	SYR	Male	1953-09-03	0.00	0	0	0	0		0.000000	0		STS-59	0.00	0	00:00	
HADFIELD, Chris Austin	CAN	Male	1959-08-19	165.68	14314884	53400	3	2	1995-11-12T12:30:43Z	0.005161	36		STS-74;STS-74;STS-74;STS-100;STS-100;STS-100;Soyuz TMA-07M;Soyuz TMA-07M;Soyuz TMA-07M;Soyuz TMA-07M	145.60	115234816	14:50	
HAIGNERé, Claudie	FRA	Female	1957-05-13	0.00	0	0	4	0	1996-08-17T13:18:03Z	0.000000	39		Soyuz TM-24;Soyuz TM-24;Soyuz TM-24;Soyuz TM-23;Soyuz TM-23;Soyuz TM-23;Soyuz TM-33;Soyuz TM-33;Soyuz TM-33;Soyuz TM-32;Soyuz TM-32;Soyuz TM-32;Soyuz TM-32	0.00	0	00:00	
HAIGNERé, Jean-Pierre	FRA	Male	1948-05-19	188.84	16316180	22740	3	1	1993-07-01T14:32:58Z	0.005882	45		Soyuz TM-17;Soyuz TM-17;Soyuz TM-17;Soyuz TM-16;Soyuz TM-16;Soyuz TM-16;Soyuz TM-29;Soyuz TM-29;Soyuz TM-29;Soyuz TM-29	188.84	131345249	06:19	
HAISE, Fred W., Jr.	USA	Male	1933-11-14	5.95	514482	0	1	0	1970-04-11T19:13Z	0.000352	36		Apollo 13;Apollo 13;Apollo 13;Apollo 13	5.95	760000	00:00	
HALIK, Nikos 'Nik'	AUS	Male	1971-05-14	0.00	0	0	0	0		0.000000	0		Apollo 13	0.00	0	00:00	
HALSELL, James D., Jr.	USA	Male	1956-09-29	52.44	4530882	0	5	0	1994-07-08T16:43:01Z	0.001633	37		STS-65;STS-65;STS-65;STS-74;STS-74;STS-74;STS-83;STS-83;STS-83;STS-94;STS-94;STS-94;STS-101;STS-101;STS-101;STS-101	15.70	36473600	00:00	
HAMMOND, L. Brain, Jr.	USA	Male	1952-01-16	19.26	1663962	0	2	0	1991-04-28T11:33:14Z	0.000600	39		STS-39;STS-39;STS-39;STS-64;STS-64;STS-64;STS-64	10.95	13394894	00:00	
HAM, Kenneth T.	USA	Male	1964-12-12	25.53	2205747	0	2	0	2008-05-31T21:02:12Z	0.000795	43		STS-124;STS-124;STS-124;STS-132;STS-132;STS-132;STS-132	13.76	17756263	00:00	
HANSEN, Jeremy Roger	CAN	Male	1976-01-27	0.00	0	0	0	0		0.000000	0		STS-132	0.00	0	00:00	
HARBAUGH, Gregory J.	USA	Male	1956-04-15	34.08	2944895	66540	4	1	1991-04-28T11:33:14Z	0.001062	35		STS-39;STS-39;STS-39;STS-54;STS-54;STS-54;STS-71;STS-71;STS-71;STS-82;STS-82;STS-82;STS-82	9.98	23706404	18:29	
HARRIS, Bernard A., Jr.	USA	Male	1956-06-26	18.26	1577356	16740	2	1	1993-04-26T14:50Z	0.000569	36		STS-55;STS-55;STS-55;STS-63;STS-63;STS-63;STS-63	9.99	12697715	04:39	
HARTSFIELD, Henry W., Jr.	USA	Male	1933-11-21	20.12	1738229	0	3	0	1982-06-27T15:00Z	0.000627	48		STS-4;STS-4;STS-4;STS-41-D;STS-41-D;STS-41-D;STS-61-A;STS-61-A;STS-61-A;STS-61-A	7.05	13992743	00:00	
HART, Terry J.	USA	Male	1946-10-27	6.99	603608	0	1	0	1984-04-06T13:58Z	0.000218	37		STS-41-C;STS-41-C;STS-41-C;STS-41-C	6.99	4859044	00:00	
HAUCK, Frederick H.	USA	Male	1941-04-11	18.13	1566549	0	3	0	1983-06-18T11:33Z	0.000565	42		STS-7;STS-7;STS-7;STS-51-A;STS-51-A;STS-51-A;STS-26;STS-26;STS-26;STS-26	7.99	12610719	00:00	
HAWLEY, Steven A.	USA	Male	1951-12-12	32.11	2774627	0	5	0	1984-08-30T12:41:50Z	0.001000	32		STS-41-D;STS-41-D;STS-41-D;STS-61-C;STS-61-C;STS-61-C;STS-31;STS-31;STS-31;STS-82;STS-82;STS-82;STS-93;STS-93;STS-93;STS-93	9.98	22335747	00:00	
HELMS, Susan J.	USA	Female	1958-02-26	43.69	3774427	32160	7	1	1993-01-13T13:59:30Z	0.001361	34		STS-54;STS-54;STS-54;STS-64;STS-64;STS-64;STS-78;STS-78;STS-78;STS-101;STS-101;STS-101;Expedition 2: STS-102 Discovery (up) and STS-105 Discovery (down);Expedition 2: STS-102 Discovery (up) and STS-105 Discovery (down);Expedition 2: STS-102 Discovery (up) and STS-105 Discovery (down);STS-102;STS-102;STS-102;STS-105;STS-105;STS-105;STS-105	16.91	30384137	08:56	
HENDRICKS, Terence T.	USA	Male	1952-07-05	42.78	3696049	0	4	0	1991-11-24T23:44Z	0.001332	39		STS-44;STS-44;STS-44;STS-55;STS-55;STS-55;STS-70;STS-70;STS-70;STS-78;STS-78;STS-78;STS-78	16.91	29753194	00:00	
HENIZE, Karl G.	USA	Male	1926-10-17	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	58		STS-51-F;STS-51-F;STS-51-F;STS-51-F	7.95	5528152	00:00	
HENNEN, Thomas J. Chief Warrant Officer	USA	Male	1952-08-17	6.95	600613	0	1	0	1991-11-24T23:44Z	0.000217	39		STS-44;STS-44;STS-44;STS-44	6.95	4834934	00:00	
HERMASZEWSKI, Miroslaw 'Mirek'	POL	Male	1941-09-15	7.92	684180	0	1	0	1978-06-27T15:27:21Z	0.000247	36		Soyuz 30;Soyuz 30;Soyuz 30;Soyuz 30	7.92	5507649	00:00	
HERNANDEZ, Jose M.	USA	Male	1962-08-07	13.87	1198500	0	1	0	2009-08-29T03:59Z	0.000432	47		STS-128;STS-128;STS-128;STS-128	13.87	9647925	00:00	
HERRINGTON, John B.	USA	Male	1958-09-14	14.78	1277319	71700	1	1	2002-11-23T00:49:47Z	0.000460	44		STS-113;STS-113;STS-113;STS-113	14.78	10282417	19:55	
HIEB, Richard J.	USA	Male	1955-09-21	32.02	2766904	63480	3	1	1991-04-28T11:33:14Z	0.000998	35		STS-39;STS-39;STS-39;STS-49;STS-49;STS-49;STS-65;STS-65;STS-65;STS-65	14.75	22273577	17:38	
HIGGINBOTHAM, Joan E.	USA	Female	1964-08-03	12.86	1111525	0	1	0	2006-12-10T01:47:35Z	0.000401	42		STS-116;STS-116;STS-116;STS-116	12.86	8947776	00:00	
HILMERS, David O.	USA	Male	1950-01-28	20.60	1779479	0	4	0	1985-10-03T15:15:30Z	0.000642	35		STS-51-J;STS-51-J;STS-51-J;STS-26;STS-26;STS-26;STS-36;STS-36;STS-36;STS-42;STS-42;STS-42;STS-42	8.05	14324805	00:00	
HIRE, Kathryn P. 'Kay'	USA	Female	1959-08-26	29.67	2563151	0	2	0	1998-04-17T18:19Z	0.000924	38		STS-90;STS-90;STS-90;STS-130;STS-130;STS-130;STS-130	15.91	20633365	00:00	
HOBAUGH, Charles O.	USA	Male	1961-11-06	35.32	3052073	0	3	0	2001-07-12T09:04Z	0.001100	39		STS-104;STS-104;STS-104;STS-118;STS-118;STS-118;STS-129;STS-129;STS-129;STS-129	12.75	24569187	00:00	
HOFFMAN, Jeffrey A.	USA	Male	1944-11-02	50.50	4362873	90480	5	1	1985-04-12T13:59:05Z	0.001573	40		STS-51-D;STS-51-D;STS-51-D;STS-35;STS-35;STS-35;STS-46;STS-46;STS-46;STS-61;STS-61;STS-61;STS-75;STS-75;STS-75;STS-75	15.74	35121127	25:08	
HOLMES, Christopher John Nicholas	GBR	Male	1950-07-10	0.00	0	0	0	0		0.000000	0		STS-75	0.00	0	00:00	
HOLMQUEST, Donald L.	USA	Male	1939-04-07	0.00	0	0	0	0		0.000000	0		STS-75	0.00	0	00:00	
HOPKINS, Michael S.	USA	Male	1968-12-28	166.27	14365570	46680	1	2	2013-09-25T20:58:50Z	0.005179	44		Soyuz TMA-10M;Soyuz TMA-10M;Soyuz TMA-10M;Soyuz TMA-10M	166.27	115642838	12:58	
HOROWITZ, Scott J.	USA	Male	1957-03-24	47.45	4099312	0	4	0	1996-02-22T20:18Z	0.001478	38		STS-75;STS-75;STS-75;STS-82;STS-82;STS-82;STS-101;STS-101;STS-101;STS-105;STS-105;STS-105;STS-105	15.74	32999461	00:00	
HOSHIDE, Akihiko	JPN	Male	1968-12-28	140.73	12158796	76980	2	3	2008-05-31T21:02:12Z	0.004383	39		STS-124;STS-124;STS-124;Soyuz TMA-05M;Soyuz TMA-05M;Soyuz TMA-05M;Soyuz TMA-05M	126.97	97878307	21:23	
HUGHES-FULFORD, Millie	USA	Female	1945-12-21	9.09	785661	0	1	0	1991-06-05T13:24:51Z	0.000283	45		STS-40;STS-40;STS-40;STS-40	9.09	6324571	00:00	
HURLEY, Douglas G.	USA	Male	1966-10-21	28.47	2459700	0	2	0	2009-07-15T22:03Z	0.000887	42		STS-127;STS-127;STS-127;STS-135;STS-135;STS-135;STS-135	15.70	19800585	00:00	
HUSBAND, Rick D.	USA	Male	1957-07-12	25.73	2223224	0	2	0	1999-05-27T06:49Z	0.000802	41		STS-96;STS-96;STS-96;STS-107;STS-107;STS-107;STS-107	15.93	17896953	00:00	
IGNATOV, Ignat Nikolaevich	RUS	Male	1982-03-20	0.00	0	0	0	0		0.000000	0		STS-107	0.00	0	00:00	
ILLARIONOV, Valeri Vasiliyevich	URS	Male	1939-06-02	0.00	0	0	0	0		0.000000	0		STS-107	0.00	0	00:00	
ILYIN, Yevgeni Aleksandrovich	URS	Male	1937-08-17	0.00	0	0	0	0		0.000000	0		STS-107	0.00	0	00:00	
IRWIN, James B.	USA	Male	1930-03-17	12.30	1062714	71160	1	1	1971-07-26T13:34Z	0.000726	41		Apollo 15;Apollo 15;Apollo 15;Apollo 15	12.30	760000	19:46	
ISAKOV, Vladimir Timofeyevich	URS	Male	1940-04-04	0.00	0	0	0	0		0.000000	0		Apollo 15	0.00	0	00:00	
ISAULOV, Yuri Fyodorovich	URS	Male	1943-08-31	0.00	0	0	0	0		0.000000	0		Apollo 15	0.00	0	00:00	
IVANCHENKOV, Aleksandr Sergeyevich	URS	Male	1940-09-28	7.91	683453	7500	3	1	1978-06-15T20:16:45Z	0.000246	37		Soyuz 29;Soyuz 29;Soyuz 29;Soyuz 31;Soyuz 31;Soyuz 31;Soyuz T-6;Soyuz T-6;Soyuz T-6;Soyuz T-6	7.91	5501796	02:05	
IVANISHIN, Anatoli Alekseyevich	RUS	Male	1969-01-15	165.31	14283117	0	1	0	2011-11-14T04:14:03Z	0.005149	42		Soyuz TMA-22;Soyuz TMA-22;Soyuz TMA-22;Soyuz TMA-22	165.31	114979091	00:00	
IVANOVA, Yekaterina Aleksandrovna	URS	Male	1949-10-03	0.00	0	0	0	0		0.000000	0		Soyuz TMA-22	0.00	0	00:00	
IVANOV, Georgi	BGR	Male	1940-07-02	1.96	169267	0	1	0	1979-04-10T17:34:34Z	0.000061	38		Soyuz 33;Soyuz 33;Soyuz 33;Soyuz 33	1.96	1362599	00:00	
IVANOV, Leonid Georgiyevich	URS	Male	1950-06-25	0.00	0	0	0	0		0.000000	0		Soyuz 33	0.00	0	00:00	
IVINS, Marsha S.	USA	Female	1951-04-15	55.91	4830652	0	5	0	1990-01-09T12:35Z	0.001742	38		STS-32;STS-32;STS-32;STS-46;STS-46;STS-46;STS-62;STS-62;STS-62;STS-81;STS-81;STS-81;STS-98;STS-98;STS-98;STS-98	13.97	38886748	00:00	
JANKOWSKI, Zenon 'Zden'	POL	Male	1937-11-22	0.00	0	0	0	0		0.000000	0		STS-98	0.00	0	00:00	
JARVIS, Gregory	USA	Male	1944-08-24	0.00	0	0	1	0	1986-01-28T16:38Z	0.000000	41		STS-51-L;STS-51-L;STS-51-L;STS-51-L	0.00	0	00:00	
JEMISON, Mae C.	USA	Female	1956-10-17	7.94	685825	0	1	0	1992-09-12T14:23Z	0.000247	35		STS-47;STS-47;STS-47;STS-47	7.94	5520891	00:00	
JERNIGAN, Tamara E.	USA	Female	1959-05-07	62.98	5441413	28500	5	1	1991-06-05T13:24:51Z	0.001962	32		STS-40;STS-40;STS-40;STS-52;STS-52;STS-52;STS-67;STS-67;STS-67;STS-80;STS-80;STS-80;STS-96;STS-96;STS-96;STS-96	17.66	43803374	07:55	
JETT, Brent W.	USA	Male	1958-10-05	41.75	3607367	0	4	0	1996-01-11T09:41Z	0.001301	37		STS-72;STS-72;STS-72;STS-81;STS-81;STS-81;STS-97;STS-97;STS-97;STS-115;STS-115;STS-115;STS-115	11.80	29039304	00:00	
JING, Haipeng	CHN	Male	1966-10-24	15.16	1309892	0	2	0	2008-09-25T21:10:04Z	0.000472	41		Shenzhou VII;Shenzhou VII;Shenzhou VII;Shenzhou IX;Shenzhou IX;Shenzhou IX;Shenzhou IX	12.64	10544630	00:00	
JOHNSON, Gregory C.	USA	Male	1954-07-30	12.90	1114630	0	1	0	2009-05-11T18:01:56Z	0.000402	54		STS-125;STS-125;STS-125;STS-125	12.90	8972771	00:00	
JOHNSON, Gregory H.	USA	Male	1962-05-12	31.49	2721120	0	2	0	2008-03-11T06:28:14Z	0.000981	45		STS-123;STS-123;STS-123;STS-134;STS-134;STS-134;STS-134	15.76	21905016	00:00	
JONES, Thomas D.	USA	Male	1955-01-22	53.04	4582288	71340	4	1	1994-04-09T11:05Z	0.001652	39		STS-59;STS-59;STS-59;STS-68;STS-68;STS-68;STS-80;STS-80;STS-80;STS-98;STS-98;STS-98;STS-98	17.66	36887418	19:49	
JäHN, Sigmund Werner Paul 'Sig'	GDR	Male	1937-02-13	0.00	0	0	2	0	1978-08-26T14:51:30Z	0.000000	41		Soyuz 31;Soyuz 31;Soyuz 31;Soyuz 29;Soyuz 29;Soyuz 29;Soyuz 29	0.00	0	00:00	
KADENYUK, Leonid Konstantinovich	UKR	Male	1951-01-28	15.69	1355700	0	1	0	1997-11-19T19:46Z	0.000489	46		STS-87;STS-87;STS-87;STS-87	15.69	10913385	00:00	
KALERI, Aleksandr Yuriyevich	URS	Male	1956-05-13	769.28	66465456	84360	5	5	1992-03-17T10:54:30Z	0.023962	35		Soyuz TM-14;Soyuz TM-14;Soyuz TM-14;Soyuz TM-24;Soyuz TM-24;Soyuz TM-24;Soyuz TM-30;Soyuz TM-30;Soyuz TM-30;Soyuz TMA-3;Soyuz TMA-3;Soyuz TMA-3;Soyuz TMA-01M;Soyuz TMA-01M;Soyuz TMA-01M;Soyuz TMA-01M	196.73	535046920	23:26	
KANAI, Norishige	JPN	Male	1976	0.00	0	0	0	0		0.000000	0		Soyuz TMA-01M	0.00	0	00:00	
KARASHTIN, Vladimir Vladimirovich	URS	Male	1962-11-18	0.00	0	0	0	0		0.000000	0		Soyuz TMA-01M	0.00	0	00:00	
KARTASHOV, Anatoli Yakovlevich	URS	Male	1932-08-25	0.00	0	0	0	0		0.000000	0		Soyuz TMA-01M	0.00	0	00:00	
KATYS, Georgi Petrovich 	URS	Male	1926-08-31	0.00	0	0	0	0		0.000000	0		Soyuz TMA-01M	0.00	0	00:00	
KAVANDI, Janet L.	USA	Female	1959-07-17	32.84	2837395	0	3	0	1998-06-02T22:06:24Z	0.001023	38		STS-91;STS-91;STS-91;STS-99;STS-99;STS-99;STS-104;STS-104;STS-104;STS-104	11.77	22841029	00:00	
KELLY, James M.	USA	Male	1964-05-14	26.72	2309010	0	2	0	2001-03-08T11:42Z	0.000832	36		STS-102;STS-102;STS-102;STS-114;STS-114;STS-114;STS-114	13.90	18587530	00:00	
KELLY, Mark E.	USA	Male	1964-02-21	54.09	4673175	0	4	0	2001-12-05T22:19:28Z	0.001685	37		STS-108;STS-108;STS-108;STS-121;STS-121;STS-121;STS-124;STS-124;STS-124;STS-134;STS-134;STS-134;STS-134	15.74	37619058	00:00	
KELLY, Scott J.	USA	Male	1964-02-21	94.26	8143762	0	4	0	1999-12-20T00:50Z	0.002936	35		STS-103;STS-103;STS-103;STS-118;STS-118;STS-118;Soyuz TMA-01M;Soyuz TMA-01M;Soyuz TMA-01M;Soyuz TMA-16M;Soyuz TMA-16M;Soyuz TMA-16M;Soyuz TMA-16M	159.36	65557284	00:00	
KERWIN, Joseph P.	USA	Male	1932-02-19	28.03	2422189	12180	1	1	1973-05-25T13:00Z	0.000873	41		Skylab 2;Skylab 2;Skylab 2;Skylab 2	28.03	19498621	03:23	
KHATULEV, Vladimir Aleksandrovich 	URS	Male	1947-02-26	0.00	0	0	0	0		0.000000	0		Skylab 2	0.00	0	00:00	
KHLUDEYEV, Yevgeni Nikolayevich 	URS	Male	1940-09-10	0.00	0	0	0	0		0.000000	0		Skylab 2	0.00	0	00:00	
KHOMENCHUK, Aleksei Mikhailovich	RUS	Male	1975-01-07	0.00	0	0	0	0		0.000000	0		Skylab 2	0.00	0	00:00	
KHRUNOV, Yevgeni Vasiliyevich 	URS	Male	1933-09-10	0.00	0	2220	2	1	1969-01-15T07:04:57Z	0.000000	35		Soyuz 5;Soyuz 5;Soyuz 5;Soyuz 4;Soyuz 4;Soyuz 4;Soyuz 4	0.00	0	00:37	
KIKINA, Anna Yuryevna	RUS	Male	1984-08-27	0.00	0	0	0	0		0.000000	0		Soyuz 4	0.00	0	00:00	
KIKUCHI, Ryoko	JPN	Male	1964-09-15	0.00	0	0	0	0		0.000000	0		Soyuz 4	0.00	0	00:00	
KILRAIN (Still), Susan L.	USA	Female	1961-10-24	19.67	1699136	0	2	0	1997-04-04T19:20:32Z	0.000613	35		STS-83;STS-83;STS-83;STS-94;STS-94;STS-94;STS-94	15.70	13678044	00:00	
KIMBROUGH, Robert Shane	USA	Male	1967-06-04	15.85	1369860	46320	1	1	2008-11-15T00:55Z	0.000494	41		STS-126;STS-126;STS-126;STS-126	15.85	11027373	12:52	
KISELYOV, Aleksandr Alexeyevich 	URS	Male	1934-01-13	0.00	0	0	0	0		0.000000	0		STS-126	0.00	0	00:00	
KIZIM, Leonid Denisovich 	URS	Male	1941-08-05	137.80	11905720	113880	4	8	1980-11-27T14:18:28Z	0.004292	39		Soyuz T-3;Soyuz T-3;Soyuz T-3;Soyuz T-10;Soyuz T-10;Soyuz T-10;Soyuz T-11;Soyuz T-11;Soyuz T-11;Soyuz T-15;Soyuz T-15;Soyuz T-15;Soyuz T-15	125.00	95841046	31:38	
KLIMUK, Pyotr Iliyich 	URS	Male	1942-07-10	78.76	6805125	0	3	0	1973-12-18T11:55Z	0.002453	31		Soyuz 13;Soyuz 13;Soyuz 13;Soyuz 18;Soyuz 18;Soyuz 18;Soyuz 30;Soyuz 30;Soyuz 30;Soyuz 30	62.97	54781256	00:00	
KOLESNIKOV, Gennadi Mikhailovich 	URS	Male	1936-10-07	0.00	0	0	0	0		0.000000	0		Soyuz 30	0.00	0	00:00	
KOLODIN, Pyotr Ivanovich 	URS	Male	1930-09-23	0.00	0	0	0	0		0.000000	0		Soyuz 30	0.00	0	00:00	
KOLOMIYTSEV, Ordinard Panteleymonovich 	URS	Male	1933-01-29	0.00	0	0	0	0		0.000000	0		Soyuz 30	0.00	0	00:00	
KOMAROV, Vladimir Mikhailovich 	URS	Male	1927-03-16	2.13	183897	0	2	0	1964-10-12T07:30:01Z	0.000066	37		Voskhod 1;Voskhod 1;Voskhod 1;Soyuz 1;Soyuz 1;Soyuz 1;Soyuz 1	1.12	1480370	00:00	
KONDAKOVA, Yelena Vladimirovna 	URS	Female	1957-03-30	178.40	15414093	0	2	0	1994-10-03T22:42:30Z	0.005557	37		Soyuz TM-20;Soyuz TM-20;Soyuz TM-20;STS-84;STS-84;STS-84;STS-84	169.22	124083448	00:00	
KONDRATIYEV, Dmitri Yuriyevich 	RUS	Male	1969-05-25	159.30	13763940	36840	1	2	2010-12-15T19:09Z	0.004962	41		Soyuz TMA-20;Soyuz TMA-20;Soyuz TMA-20;Soyuz TMA-20	159.30	110799717	10:14	
KONONENKO, Oleg Dmitriyevich 	RUS	Male	1964-06-21	391.47	33823221	66420	2	3	2008-04-08T11:16:39Z	0.012194	43		Soyuz TMA-12;Soyuz TMA-12;Soyuz TMA-12;Soyuz TMA-03M;Soyuz TMA-03M;Soyuz TMA-03M;Soyuz TMA-03M	198.68	272276929	18:27	
KONONENKO, Oleg Grigoriyevich 	URS	Male	1938-08-16	0.00	0	0	0	0		0.000000	0		Soyuz TMA-03M	0.00	0	00:00	
KOPRA, Timothy L.	USA	Male	1963-04-09	0.00	0	18120	1	1		0.000000	0		Expedition 20: STS-127 Endeavour(up) and STS-128 Discovery(down);Expedition 20: STS-127 Endeavour(up) and STS-128 Discovery(down);Expedition 20: STS-127 Endeavour(up) and STS-128 Discovery(down);Expedition 20: STS-127 Endeavour(up) and STS-128 Discovery(down)	0.00	0	05:02	
KORNIYENKO, Mikhail Borisovich 	RUS	Male	1960-04-15	176.06	15211200	24120	1	1	2010-04-02T04:04Z	0.005484	49		Soyuz TMA-18;Soyuz TMA-18;Soyuz TMA-18;Soyuz TMA-18	176.06	122450160	06:42	
KORSAKOV, Sergei Vladimirovich	RUS	Male	1984-09-01	0.00	0	0	0	0		0.000000	0		Soyuz TMA-18	0.00	0	00:00	
KORZUN, Valeri Grigoriyevich 	URS	Male	1953-03-05	225.37	19471850	80520	3	4	1996-08-17T13:18:03Z	0.007020	43		Soyuz TM-24;Soyuz TM-24;Soyuz TM-24;STS-111;STS-111;STS-111;STS-113;STS-113;STS-113;STS-113	196.73	156748392	22:22	
KOSTENKO, Sergei Valerievich	RUS	Male	1963-04-20	0.00	0	0	0	0		0.000000	0		STS-113	0.00	0	00:00	
KOTOV, Oleg Valeriyevich 	RUS	Male	1965-10-27	526.21	45464761	132660	3	6	2007-04-07T17:31:09Z	0.016391	41		Soyuz TMA-10;Soyuz TMA-10;Soyuz TMA-10;Soyuz TMA-17;Soyuz TMA-17;Soyuz TMA-17;Soyuz TMA-10M;Soyuz TMA-10M;Soyuz TMA-10M;Soyuz TMA-10M	196.71	365991326	36:51	
KOVALYONOK, Vladimir Vasiliyevich 	URS	Male	1942-03-03	76.77	6632530	0	4	0	1977-10-09T02:40:35Z	0.002391	35		Soyuz 25;Soyuz 25;Soyuz 25;Soyuz 29;Soyuz 29;Soyuz 29;Soyuz 31;Soyuz 31;Soyuz 31;Soyuz T-4;Soyuz T-4;Soyuz T-4;Soyuz T-4	74.73	53391866	00:00	
KOZELSKY, Vladimir Sergeyevich 	URS	Male	1942-01-12	0.00	0	0	0	0		0.000000	0		Soyuz T-4	0.00	0	00:00	
KOZEYEV, Konstantin Mirovich 	RUS	Male	1967-12-01	0.00	0	0	2	0	2001-10-21T08:59:35Z	0.000000	33		Soyuz TM-33;Soyuz TM-33;Soyuz TM-33;Soyuz TM-32;Soyuz TM-32;Soyuz TM-32;Soyuz TM-32	0.00	0	00:00	
